,x,y,function,module,potential,amount,v_order,is_co_chap,complax
DNAJA3,0.5,0,folding,1,0.655293088,749,5,TRUE,2
CLPX,0.5,0.5,protease,1,0.420822397,481,8,FALSE,3
AFG3L2,0.5,1,protease,1,0.569553806,651,12,FALSE,8
GRPEL2,0.5,-0.5,folding,1,0.54768154,626,14,TRUE,2
HSPA9,1,1,folding,1,0.549431321,628,3,FALSE,2
HSPD1,1,0.5,folding,1,0.604549431,691,4,FALSE,1
YME1L1,1,-0.5,protease,1,0.39720035,454,6,FALSE,7
TRAP1,1,0,folding,1,0.626421697,716,9,FALSE,9
CLPP,-0.5,0.75,protease,2,0.486439195,556,1,TRUE,3
DNAJC19,-0.5,0.25,folding,2,0.688538933,787,11,TRUE,2
HSCB,-0.5,-0.25,folding,2,0.517935258,592,15,TRUE,2
LONP1,0,-0.25,protease,2,0.527559055,603,2,TRUE,4
HSPE1,0,0.75,folding,2,0.598425197,684,7,TRUE,1
HTRA2,0,0.25,protease,2,0.611548556,699,10,FALSE,5
SPG7,-1,0.5,protease,2,0.524059493,599,13,FALSE,6
